"","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","welcome","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","MTurkCode","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE"
"110","2018-09-10 06:45:57","2018-09-10 06:52:08","0","108.7.179.61",100,370,"1","2018-09-10 06:52:08","R_3M5PJqE1NcNZ4xj","","","","","42.576705932617","-70.954902648926","anonymous","EN","","1",5,4,6,5,5,2,5,5,3,4,4,1,3,5,4,5,4,3,4,3,5,3,1,1,4,1,3,5,5,3,"5.774","111.016","112.365","34",2,4,5,4,3,4,4,3,2,5,2,"1.931","59.752","62.412","36","1","16.284","16.457","19.973","2","16.89","17.102","19.24","2","30","5.461","15.308","16.713","5","50","14.26","25.559","26.252","7","","","","","",5,5,3,"1",NA,NA,NA,NA,NA,"none, thanks","male","",29,"english","","white","","73","","","bachelors","$250K-$500K","0","","Control","359344705",50,26.252,7,2.4,4.33333333333333,3.41666666666667,5,2,2,2,3,4,4,4,3,3,4,4,6,0.3,0.266666666666667,0.628787878787879,0.363636363636364,-1.93333333333333,-1.85302763080541,-0.91005291005291,0.942974720752498,-0.442117510180338,0.659369527145359,-0.457919955626414,NA,NA,NA,NA,NA,"loprev","hiprom","loass","hiloc",0,-1.10878058802948,1.49730485972748,-0.033060300158641,-2.08119404647338,-1
"111","2018-09-10 06:47:05","2018-09-10 06:52:09","0","184.101.96.232",100,303,"1","2018-09-10 06:52:09","R_2RUQC4KX4Aqzz4P","","","","","33.397201538086","-111.78579711914","anonymous","EN","","1",5,1,5,5,5,6,6,6,6,2,5,1,4,5,6,5,5,1,6,6,5,6,2,2,5,4,1,6,5,6,"1.326","56.214","56.868","61",3,3,4,3,3,2,4,3,2,4,2,"6.422","39.75","40.666","20","1","0","0","11.291","0","0","0","12.729","0","30","8.975","8.975","10.019","1","","","","","","0","17.398","17.398","18.264","1",5,5,1,"1",NA,NA,NA,NA,NA,"n","male","",35,"english","","white","","6","","0","graddegree","$10K-$20K","0","","CF Loss","3521304",0,18.264,1,3.2,3.83333333333333,5.83333333333333,5,3,3,4,3,3,4,4,6,5,6,3,5,0.2,0.166666666666667,0.151515151515152,0.545454545454545,-0.633333333333333,-0.553027630805409,-0.11005291005291,0.442974720752499,1.97454915648633,0.659369527145359,-2.57579975039858,NA,NA,NA,NA,NA,"loprev","hiprom","hiass","hiloc",1,-0.134085094366356,0.703378560975473,-1.46349698565819,-0.621122855176873,1
"112","2018-09-10 06:46:57","2018-09-10 06:52:09","0","172.7.244.112",100,312,"1","2018-09-10 06:52:09","R_D03Aic8vRxzn8BP","","","","","32.83430480957","-97.228897094727","anonymous","EN","","1",4,4,5,4,4,5,5,5,4,3,4,5,4,4,5,4,4,4,5,5,4,5,1,3,4,3,3,5,4,4,"3.26","50.146","51.146","36",4,3,3,4,3,4,3,3,4,3,4,"4.122","23.709","24.682","11","1","0","0","12.282","0","0","0","9.51","0","30","8.053","9.186","10.09","2","","","","","","100","5.522","5.522","10.495","1",5,5,3,"0",5,5,5,5,5,"","male","",30,"english","","white","","96","","0","associates","$100K-$250K","0","","CF Loss","820855173",100,10.495,1,2.6,2.5,4.41666666666667,4.16666666666667,3,2,2,3,2,2,2,3,4,4,3,4,0.3,0.3,0.446969696969697,0.333333333333333,0.1,0.180305702527925,-0.71005291005291,-0.890358612580835,0.557882489819663,-0.173963806187974,-0.457919955626414,1.7598373521199,1.90809815361735,1.19029059499411,1.55702214061221,1.66192779231231,"loprev","loprom","hiass","loloc",1,-0.865106714613701,-1.41375823569655,1.39737638534091,0.202507047605769,1
"113","2018-09-10 06:46:20","2018-09-10 06:52:13","0","137.45.236.136",100,352,"1","2018-09-10 06:52:14","R_9vQd2uUO6rM75mh","","","","","37.137496948242","-80.550598144531","anonymous","EN","","1",5,3,4,5,5,4,4,5,2,4,5,1,4,4,4,5,5,4,4,3,3,3,4,3,5,3,4,5,4,5,"3.434","94.969","96.211","33",1,2,4,2,4,2,5,2,1,5,2,"4.735","67.641","68.873","11","1","0","0","14.146","0","0","0","7.985","0","30","11.255","22.693","24.933","3","50","9.653","11.592","14.054","2","","","","","",5,5,3,"1",NA,NA,NA,NA,NA,"","male","",24,"english","","white","","100","","1","graddegree","$10K-$20K","0","","Control","457303478",50,14.054,2,4,4.66666666666667,3.66666666666667,4.41666666666667,4,4,4,4,5,5,4,4,3,3,3,4,0,0.266666666666667,0.787878787878788,0.628787878787879,-0.666666666666667,-0.586360964138742,0.68994708994709,1.27630805408583,-0.192117510180338,0.0760361938120262,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","hiprom","loass","loloc",0,0.84061039929677,2.02658905889549,-0.033060300158641,-0.65856057803063,-1
"114","2018-09-10 06:45:37","2018-09-10 06:52:14","0","45.57.176.201",100,397,"1","2018-09-10 06:52:14","R_2bHGDklXTwQ0uTe","","","","","39.057205200195","-94.593299865723","anonymous","EN","","1",5,4,3,4,4,5,4,5,5,4,4,5,4,3,4,5,5,5,4,4,5,4,4,4,5,4,3,4,5,4,"30.358","47.225","48.107","34",3,3,4,2,3,3,3,2,3,4,4,"2.767","16.13","17.253","12","1","0.923","0.923","1.393","1","0","0","1.472","0","30","2.369","18.28","19.164","10","31","1.027","4.225","5.317","5","","","","","",4,4,3,"1",NA,NA,NA,NA,NA,"NICE TASK","male","",72,"english","","white","","96","","0","graddegree","$20K-$40K","0","","Control","703969431",31,5.317,5,3.4,3.16666666666667,4,4.25,3,4,3,4,3,3,2,3,3,4,3,3,0.3,0.566666666666667,0.363636363636364,0.75,0.233333333333333,0.313639035861258,0.0899470899470898,-0.223691945914168,0.141215823152996,-0.0906304728546408,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","loprom","hiass","loloc",0,0.109588779049425,-0.355189837360541,-0.576626240648471,0.352257939020795,-1
"115","2018-09-10 06:46:15","2018-09-10 06:52:14","0","8.29.121.25",100,359,"1","2018-09-10 06:52:15","R_3eDk48SBpAK7G7v","","","","","29.739501953125","-95.387901306152","anonymous","EN","","1",6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,"1.094","26.06","27.349","32",4,2,4,2,4,2,4,4,5,5,4,"4.795","21.875","23.491","11","1","1.809","1.809","2.69","1","0","0","2.021","0","30","5.535","148.818","151.434","35","","","","","","31","15.405","15.405","16.683","1",5,4,3,"1",NA,NA,NA,NA,NA,"good","female","",62,"english","","white","","96","","1","graddegree","$10K-$20K","1","1","CF Loss","856819016",31,16.683,1,3.6,3,4.58333333333333,4.91666666666667,4,4,4,2,2,1,2,2,2,1,1,2,0.8,2.4,3.35606060606061,2.81060606060606,0.6,0.680305702527925,0.28994708994709,-0.390358612580835,0.724549156486329,0.576036193812026,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","loprom","hiass","hiloc",1,0.353262652465207,-0.619831936944544,-0.576626240648471,0.764072890412117,1
"116","2018-09-10 06:45:20","2018-09-10 06:52:15","0","24.225.114.170",100,414,"1","2018-09-10 06:52:15","R_PFNv1CO9CugBWi5","","","","","48.769897460938","-95.790397644043","anonymous","EN","","1",3,6,3,4,5,1,1,4,3,6,3,1,5,1,2,2,1,2,5,4,3,4,1,3,3,3,6,4,4,4,"3.318","109.001","110.727","38",5,5,3,5,2,5,3,5,3,2,5,"8.106","42.49","44.895","11","1","0","0","6.427","0","0","0","15.132","0","30","21.789","21.789","24.446","1","50","21.096","21.096","23.972","1","","","","","",5,5,5,"0",3,2,4,2,2,"i dont typically follow bitcoin i know it was really valuable at one point im unsure about its price now","male","",38,"english","","white","","75","","0","somecollege","$40K-$70K","0","","Control","30518261",50,23.972,1,1.2,2.16666666666667,2.5,3.41666666666667,1,1,1,1,1,3,1,1,1,1,2,4,0.2,0.966666666666667,2.27272727272727,0.810606060606061,-0.966666666666667,-0.886360964138742,-2.11005291005291,-1.22369194591417,-1.358784176847,-0.923963806187974,1.65995983914575,0.216269168573771,-0.357898454113614,0.402534637579827,-0.659755144327207,-0.547888283179883,"loprev","loprom","loass","loloc",0,-2.57082382852417,-1.94304243486456,-0.033060300158641,-0.995500083714438,-1
"117","2018-09-10 06:48:20","2018-09-10 06:52:16","0","98.235.134.55",100,235,"1","2018-09-10 06:52:16","R_0jpcoM9IMcpeRAR","","","","","40.308395385742","-76.69539642334","anonymous","EN","","1",3,2,4,4,5,3,1,4,4,5,4,1,5,6,5,3,2,2,4,4,3,2,1,6,3,3,2,4,4,3,"4.736","70.549","71.167","34",5,3,3,4,4,3,3,4,5,3,4,"6.645","25.275","26.17","12","1","13.413","13.413","17.069","1","0","0","11.62","0","30","7.519","7.519","8.183","1","10","10.413","10.413","11.599","1","","","","","",5,5,3,"0",1,1,2,1,1,"","male","",46,"english","","white","","90","","0","somecollege","$40K-$70K","0","","Control","832267653",10,11.599,1,2.8,2.16666666666667,3.5,3.33333333333333,3,2,3,2,1,1,2,5,2,5,2,1,0.7,0.966666666666667,1.72727272727273,1.15151515151515,0.633333333333333,0.713639035861258,-0.51005291005291,-1.22369194591417,-0.358784176847004,-1.00729713952131,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.17297727724874,-1.39868090597368,-1.28449364167728,"loprev","loprom","loass","loloc",0,-0.621432841197919,-1.94304243486456,-1.17740964855828,0.801510613265873,-1
"118","2018-09-10 06:46:48","2018-09-10 06:52:19","0","108.245.152.51",100,330,"1","2018-09-10 06:52:19","R_2f6VLpnv3kaNdgO","","","","","37.790496826172","-85.484802246094","anonymous","EN","","1",4,1,2,6,5,4,4,4,6,3,4,1,3,3,6,6,1,3,4,6,4,2,1,3,5,1,1,5,4,2,"4.878","161.861","164.339","34",3,2,4,2,5,2,3,2,3,3,2,"1.992","16.978","18.093","11","1","0","0","5.737","0","0","0","7.032","0","30","8.262","8.262","9.02","1","","","","","","20","6.466","6.466","7.216","1",5,5,4,"0",1,1,3,2,1,"","female","",23,"english","","white","","69","","1","bachelors","$20K-$40K","0","","CF Loss","485119138",20,7.216,1,4.2,3.33333333333333,4.5,4.41666666666667,4,4,4,4,3,3,4,6,4,6,4,4,0.2,0.266666666666667,2.27272727272727,1.17424242424242,0.866666666666667,0.946972369194591,0.88994708994709,-0.0570252792475014,0.641215823152996,0.0760361938120262,0.601019941759668,-1.32729901497236,-1.1132306566906,-0.385221319834458,-0.659755144327207,-1.28449364167728,"hiprev","loprom","hiass","loloc",1,1.08428427271255,-0.0905477377765371,-0.891322311458372,1.06357467324217,1
"119","2018-09-10 06:46:11","2018-09-10 06:52:21","0","184.54.194.220",100,369,"1","2018-09-10 06:52:22","R_3dRZiOowERHX0ji","","","","","39.352203369141","-84.29940032959","anonymous","EN","","1",3,2,3,5,4,3,3,5,3,4,4,1,4,1,4,3,1,2,3,4,3,3,1,2,3,2,2,4,4,3,"5.64","87.103","88.174","37",3,3,3,3,4,3,4,3,3,3,2,"8.916","56.56","57.818","20","1","4.961","22.148","23.6","2","15.879","18.464","20.723","2","30","12.6","15.417","16.933","2","40","7.294","10.482","11.525","2","","","","","",5,4,3,"0",2,2,3,1,1,"","male","",36,"english","","white","","87","","0","graddegree","$100K-$250K","0","","Control","714014431",40,11.525,2,3.2,3.33333333333333,3.58333333333333,3.75,3,3,3,3,3,3,4,5,3,5,3,5,0.2,0.266666666666667,0.628787878787879,0.75,-0.133333333333333,-0.0530276308054086,-0.11005291005291,-0.0570252792475014,-0.275450843513671,-0.590630472854641,-0.457919955626414,-0.555514923199293,-0.357898454113614,-0.385221319834458,-1.39868090597368,-1.28449364167728,"loprev","loprom","loass","loloc",0,-0.134085094366356,-0.0905477377765371,-0.319147637258551,-0.0595570123705262,-1
"120","2018-09-10 06:46:38","2018-09-10 06:52:23","0","205.142.197.121",100,344,"1","2018-09-10 06:52:23","R_3IWS7UWZqLKxyxk","","","","","39.154006958008","-84.487297058105","anonymous","EN","","1",5,5,6,6,5,5,4,5,3,4,3,2,2,6,3,5,4,6,1,3,4,2,5,1,5,2,4,6,6,2,"11.741","95.886","96.488","35",1,3,4,3,3,3,4,1,2,4,1,"6.086","30.552","31.432","11","1","7.955","11.362","11.666","2","2.721","2.721","4.145","1","30","12.639","41.348","48.52","3","","","","","","50","13.468","13.468","15.747","1",4,4,2,"1",NA,NA,NA,NA,NA,"No comments","male","",32,"english","","white","","87","","0","graddegree","$100K-$250K","0","","CF Loss","980051028",50,15.747,1,3.4,4.33333333333333,2.83333333333333,5.33333333333333,3,3,3,5,5,4,5,2,3,3,5,6,0.8,0.266666666666667,1.06060606060606,0.424242424242424,-0.933333333333333,-0.853027630805408,0.0899470899470898,0.942974720752498,-1.02545084351367,0.992702860478692,-1.5168598530125,NA,NA,NA,NA,NA,"hiprev","hiprom","loass","hiloc",1,0.109588779049425,1.49730485972748,-0.033060300158641,-0.958062360860682,1
"121","2018-09-10 06:44:57","2018-09-10 06:52:23","0","74.249.186.70",100,445,"1","2018-09-10 06:52:23","R_QfvNmP2XgFyFa8h","","","","","31.438201904297","-83.439102172852","anonymous","EN","","1",4,2,2,5,5,2,3,4,5,4,4,1,5,2,5,5,2,2,5,6,3,4,2,3,5,2,1,4,3,3,"4.909","111.038","111.301","34",4,2,2,3,4,2,3,2,4,1,3,"7.446","41.094","41.894","12","1","0","0","43.665","0","0","0","21.684","0","30","27.775","28.773","29.158","2","","","","","","100","11.3","16.393","17.202","2",5,3,3,"0",2,1,3,1,1,"","female","",28,"english","","white","","13","","0","associates","$20K-$40K","0","","CF Loss","222091224",100,17.202,2,3.8,2.16666666666667,4.25,3.83333333333333,4,3,4,4,2,2,3,5,3,6,2,4,0.2,0.566666666666667,1.65909090909091,1.24242424242424,1.63333333333333,1.71363903586126,0.48994708994709,-1.22369194591417,0.391215823152996,-0.507297139521307,-0.457919955626414,-0.555514923199293,-1.1132306566906,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","loprom","hiass","loloc",1,0.596936525880988,-1.94304243486456,1.39737638534091,1.92464229887857,1
"122","2018-09-10 06:45:16","2018-09-10 06:52:24","0","41.66.236.13",100,428,"1","2018-09-10 06:52:24","R_3EDLO2kN2Mvl2lr","","","","","8","-2","anonymous","EN","","1",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"4.507","45.637","46.834","33",3,1,5,3,5,3,3,5,5,5,5,"9.679","90.001","90.512","13","1","0","0","10.128","0","0","0","2.309","0","30","1.226","29.658","30.751","4","","","","","","30","12.87","12.87","14.138","1",3,4,1,"0",5,5,5,5,5,"","male","",23,"english","","white","","98","","1","bachelors","$10K-$20K","0","","CF Loss","105691917",30,14.138,1,3.4,3,4.75,5.16666666666667,5,3,3,1,3,1,1,1,1,1,1,1,2.8,3.2,5.11363636363636,3.78787878787879,0.4,0.480305702527925,0.0899470899470898,-0.390358612580835,0.891215823152996,0.826036193812026,-2.57579975039858,1.7598373521199,1.90809815361735,1.19029059499411,1.55702214061221,1.66192779231231,"hiprev","loprom","hiass","hiloc",1,0.109588779049425,-0.619831936944544,-0.605234974358462,0.539446553289578,1
"123","2018-09-10 06:45:30","2018-09-10 06:52:26","0","204.109.14.219",100,415,"1","2018-09-10 06:52:27","R_3PNxw6KBS53aK70","","","","","39.959701538086","-75.196800231934","anonymous","EN","","1",5,5,4,5,6,5,5,5,5,6,6,1,4,5,2,6,4,1,6,4,5,4,2,2,5,2,4,5,5,5,"3.63","113.442","114.831","87",2,3,3,3,4,3,3,2,4,4,3,"6.556","50.276","50.931","60","1","1.009","1.009","4.141","1","1.007","1.007","1.489","1","30","4.332","18.389","19.287","16","","","","","","0","2.666","10.359","11.001","3",1,3,3,"0",1,1,2,1,1,"","male","",23,"english","","white","","90","","1","graddegree","$100K-$250K","0","","CF Loss","350882774",0,11.001,3,3.4,3.16666666666667,4,4.91666666666667,3,3,3,4,4,2,3,2,1,3,3,5,0.3,0.566666666666667,2.72727272727273,0.628787878787879,0.233333333333333,0.313639035861258,0.0899470899470898,-0.223691945914168,0.141215823152996,0.576036193812026,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.17297727724874,-1.39868090597368,-1.28449364167728,"hiprev","loprom","hiass","hiloc",1,0.109588779049425,-0.355189837360541,-1.46349698565819,0.352257939020795,1
"124","2018-09-10 06:46:09","2018-09-10 06:52:27","0","171.238.73.95",100,377,"1","2018-09-10 06:52:28","R_1qUOGXpYyy2o0MV","","","","","20.25390625","105.97500610352","anonymous","EN","","1",6,6,5,6,6,6,1,6,6,6,1,1,6,1,6,6,6,1,1,1,6,1,1,1,6,1,6,1,1,1,"2.202","81.337","83.107","64",4,5,3,5,1,5,2,5,4,4,4,"10.481","37.054","38.132","44","1","0","0","5.82","0","0","0","4.019","0","30","9.1","11.468","12.509","20","100","4.684","4.69","5.531","12","","","","","",5,5,5,"0",5,5,5,2,2,"no","male","",32,"english","","black","","88","","0","graddegree","$40K-$70K","0","","Control","153215426",100,5.531,12,1,2.5,2.25,4.66666666666667,1,1,1,1,2,2,2,1,1,1,1,6,0,0.7,5.11363636363636,4.96969696969697,-1.5,-1.41969429747208,-2.31005291005291,-0.890358612580835,-1.608784176847,0.326036193812026,1.65995983914575,1.7598373521199,1.90809815361735,1.19029059499411,-0.659755144327207,-0.547888283179883,"loprev","loprom","loass","hiloc",0,-2.81449770193995,-1.41375823569655,1.39737638534091,-1.59450364937454,-1
"125","2018-09-10 06:45:49","2018-09-10 06:52:29","0","108.56.142.120",100,399,"1","2018-09-10 06:52:30","R_3KPm8lGTAsJJZWh","","","","","38.931106567383","-77.348899841309","anonymous","EN","","1",4,3,2,4,5,2,2,3,4,4,5,1,4,2,4,3,2,2,4,5,3,2,2,2,5,2,3,3,2,1,"5.381","81.9","82.697","36",1,1,3,1,4,1,3,2,3,4,1,"6.301","42.048","43.004","13","1","0","0","11.855","0","13.535","13.601","15.093","2","30","24.9","24.9","25.775","1","","","","","","30","16.974","16.974","17.977","1",4,4,4,"0",2,1,2,2,1,"none","male","",23,"english","","asian","","100","","0","graddegree","$500K+","0","","CF Loss","384865052",30,17.977,1,4.6,3.83333333333333,3.33333333333333,3.5,5,5,5,4,5,3,5,4,3,4,3,5,0.3,0.966666666666667,1.6969696969697,1.18181818181818,0.766666666666666,0.846972369194591,1.28994708994709,0.442974720752499,-0.525450843513671,-0.840630472854641,0.601019941759668,-0.555514923199293,-1.1132306566906,-1.17297727724874,-0.659755144327207,-1.28449364167728,"hiprev","hiprom","loass","loloc",1,1.57163201954411,0.703378560975473,-0.605234974358462,0.951261504680899,1
"126","2018-09-10 06:47:38","2018-09-10 06:52:30","0","107.150.30.78",100,291,"1","2018-09-10 06:52:30","R_3esDaeJE2iuCC0i","","","","","33.748001098633","-84.385803222656","anonymous","EN","","1",6,5,6,6,5,4,4,4,6,6,5,6,6,6,5,5,6,5,5,5,6,6,6,5,6,5,6,6,6,6,"3.843","24.085","25.501","32",3,1,3,2,3,2,2,3,1,1,1,"2.706","15.257","16.7","11","1","0","0","1.996","0","0","0","1.576","0","30","2.121","104.953","108.155","32","47","14.31","16.268","17.196","5","","","","","",4,2,5,"1",NA,NA,NA,NA,NA,"Good Survey","male","",30,"english","","amerindian","","65","","0","doctorate","$20K-$40K","0","","Control","152033629",47,17.196,5,3.8,3.16666666666667,4.16666666666667,4.91666666666667,5,4,4,3,3,5,5,2,1,1,1,2,0.7,2.56666666666667,3.42424242424242,2.99242424242424,0.633333333333333,0.713639035861258,0.48994708994709,-0.223691945914168,0.307882489819663,0.576036193812026,1.65995983914575,NA,NA,NA,NA,NA,"hiprev","loprom","hiass","hiloc",0,0.596936525880988,-0.355189837360541,-0.118886501288614,0.801510613265873,-1
"127","2018-09-10 06:45:39","2018-09-10 06:52:34","0","172.241.145.162",100,415,"1","2018-09-10 06:52:34","R_1F3PucWDeG7vfeJ","","","","","33.081207275391","-96.813301086426","anonymous","EN","","1",5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,6,5,6,5,6,"1.22","29.975","31.321","37",4,5,4,5,4,5,4,5,4,5,4,"2.315","42.774","43.96","11","1","0","0","2.921","0","0","0","2.537","0","30","2.491","35.997","56.849","18","93","2.99","5.347","5.66","8","","","","","",5,4,4,"1",NA,NA,NA,NA,NA,"The survey in the very improvement ","male","",32,"english","","black","","96","","1","graddegree","$70K-$100K","0","","Control","324568862",93,5.66,8,1.6,3.16666666666667,4.41666666666667,4.91666666666667,1,1,1,1,2,2,2,1,1,2,2,3,1.8,1.76666666666667,3.71969696969697,1.53787878787879,-1.56666666666667,-1.48636096413874,-1.71005291005291,-0.223691945914168,0.557882489819663,0.576036193812026,0.601019941759668,NA,NA,NA,NA,NA,"loprev","loprom","hiass","hiloc",0,-2.08347608169261,-0.355189837360541,1.19711524937097,-1.66937909508206,-1
"128","2018-09-10 06:45:28","2018-09-10 06:52:36","0","104.200.35.33",100,428,"1","2018-09-10 06:52:36","R_1NnpYnvFKbnzPH9","","","","","35.652801513672","-97.478103637695","anonymous","EN","","1",4,3,5,2,6,5,3,4,5,3,6,3,5,6,3,5,5,3,6,4,3,5,6,2,5,4,2,6,3,3,"5.63","42.294","43.259","31",4,3,4,4,3,3,4,4,2,5,3,"6.064","46.615","48.18","12","1","8.688","8.688","24.128","1","0","0","12.845","0","30","17.229","37.674","38.689","2","","","","","","17","21.731","21.731","25.408","1",2,2,2,"0",3,3,3,4,4,"","male","",31,"english","","other","","82","","0","doctorate","$500K+","0","","CF Loss","894999942",17,25.408,1,2.6,3.66666666666667,4.41666666666667,4.16666666666667,3,2,3,2,2,4,3,4,4,5,2,5,0.3,1.06666666666667,1.17424242424242,1.96969696969697,-1.06666666666667,-0.986360964138742,-0.71005291005291,0.276308054085832,0.557882489819663,-0.173963806187974,-1.5168598530125,0.216269168573771,0.397433748463374,-0.385221319834458,0.818096378965737,0.925322433814912,"loprev","hiprom","hiass","loloc",1,-0.865106714613701,0.438736461391469,-0.977148512588345,-1.10781325227571,1
"130","2018-09-10 06:45:19","2018-09-10 06:52:37","0","73.194.153.219",100,437,"1","2018-09-10 06:52:37","R_Df4GLo3FQ99Dpu1","","","","","40.789505004883","-74.056503295898","anonymous","EN","","1",4,5,4,5,5,4,5,4,5,4,3,4,5,4,5,4,5,4,3,4,5,5,4,3,5,4,5,5,4,3,"2.071","57.849","61.108","44",3,4,3,3,2,4,3,3,4,3,3,"2.74","29.216","30.5","24","1","49.413","49.413","67.238","1","0","0","16.328","0","30","9.184","22.835","29.789","5","27","3.68","16.744","18.361","4","","","","","",3,3,2,"0",3,4,4,3,3,"good one","male","",31,"english","","asian","","81","","0","doctorate","$70K-$100K","0","","Control","562892157",27,18.361,4,2.4,2.83333333333333,3.66666666666667,4.25,2,3,2,3,3,2,3,2,3,2,2,4,0.3,0.166666666666667,1.33333333333333,0.75,-0.433333333333334,-0.353027630805409,-0.91005291005291,-0.557025279247501,-0.192117510180338,-0.0906304728546408,-1.5168598530125,0.216269168573771,1.15276595104036,0.402534637579827,0.0791706173192649,0.188717075317515,"loprev","loprom","loass","loloc",0,-1.10878058802948,-0.884474036528547,-0.691061175488435,-0.396496518054335,-1
"132","2018-09-10 06:46:26","2018-09-10 06:52:40","0","104.251.81.42",100,374,"1","2018-09-10 06:52:41","R_9GLBurzkTfhkH1D","","","","","37.33869934082","-121.89140319824","anonymous","EN","","1",5,6,6,4,5,5,6,6,6,5,5,4,6,5,6,6,5,4,6,5,5,4,6,6,5,4,6,5,5,6,"3.05","40.508","42.688","31",4,5,3,3,2,3,5,3,5,4,4,"13.209","68.337","70.286","13","1","0","0","4.1","0","0","0","10.149","0","30","5.034","36.13","37.647","9","65","9.707","16.319","18.89","2","","","","","",4,4,2,"1",NA,NA,NA,NA,NA,"I am very interested and very good","male","",NA,"english","","black","","8","","0","doctorate","$70K-$100K","0","","Control","218785564",65,18.89,2,2.4,2.83333333333333,4.41666666666667,4.5,1,3,3,3,2,1,2,1,2,1,1,1,0.8,2.16666666666667,3.90151515151515,3,-0.433333333333334,-0.353027630805409,-0.91005291005291,-0.557025279247501,0.557882489819663,0.159369527145359,-1.5168598530125,NA,NA,NA,NA,NA,"loprev","loprom","hiass","hiloc",0,-1.10878058802948,-0.884474036528547,0.396070705491224,-0.396496518054335,-1
"133","2018-09-10 06:45:18","2018-09-10 06:52:41","0","104.129.131.176",100,442,"1","2018-09-10 06:52:41","R_233jLquV2PrTwAR","","","","","33.020004272461","-96.741897583008","anonymous","EN","","1",5,4,6,4,6,5,4,5,4,5,6,5,5,4,5,6,5,6,6,5,4,4,5,6,5,4,4,6,6,5,"4.753","52.971","55.202","33",1,4,3,5,3,1,2,4,3,5,3,"8.756","82.425","84.688","11","1","0","0","4.538","0","0","0","2.649","0","30","15.138","35.981","38.146","6","","","","","","62","21.565","28.938","30.696","8",4,2,5,"1",NA,NA,NA,NA,NA,"good","male","",35,"english","","white","","101","","1","doctorate","$100K-$250K","1","1","CF Loss","443834802",62,30.696,8,2.6,3.5,4.33333333333333,4.66666666666667,2,1,5,2,5,3,3,3,2,3,2,1,2.3,1.5,1.51515151515152,2.78787878787879,-0.9,-0.819694297472075,-0.71005291005291,0.109641387419165,0.474549156486329,0.326036193812026,1.65995983914575,NA,NA,NA,NA,NA,"loprev","hiprom","hiass","hiloc",1,-0.865106714613701,0.174094361807466,0.310244504361251,-0.920624638006925,1
