"","StartDate","EndDate","Progress","Durationinseconds","Finished","ResponseId","UserLanguage","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE","countryCode","countryName","asn","isp","block","hostname","block12","block.d"
"163","2018-09-10 06:45:35","2018-09-10 06:51:30",100,354,"1","R_1l4cj9X5joYxwap","EN","1",3,3,1,4,4,2,1,3,2,4,3,1,4,1,3,3,2,2,3,4,2,3,1,4,3,1,3,4,3,2,"6.445","100.095","101.501","71",3,2,2,2,4,2,3,3,2,4,3,"6.566","44.597","45.654","37","1","1.515","1.515","3.859","1","1.241","1.241","2.197","1","30","4.095","16.286","18.39","5","","","","","","0","2.313","20.406","25.614","7",4,5,1,"0",1,1,3,2,1,"none","male","",44,"english","","white","","75","","0","graddegree","$250K-$500K","0","","CF Loss",0,25.614,7,3.8,3.16666666666667,2.83333333333333,3,4,4,4,3,3,4,3,4,3,4,3,3,0.2,0.566666666666667,0.878787878787879,0.727272727272727,0.633333333333333,0.713639035861258,0.48994708994709,-0.223691945914168,-1.02545084351367,-1.34063047285464,-2.57579975039858,-1.32729901497236,-1.1132306566906,-0.385221319834458,-0.659755144327207,-1.28449364167728,"hiprev","loprom","loass","loloc",1,0.596936525880988,-0.355189837360541,-1.46349698565819,0.801510613265873,1,"US","United States","30036","MEDIACOM-ENTERPRISE-BUSINESS",0,"173.22.6.76",0,0
"166","2018-09-10 06:47:05","2018-09-10 07:00:16",100,791,"1","R_ZCqmmPpW61GTZxD","EN","1",6,2,5,6,6,5,5,6,4,5,5,1,4,1,5,5,1,2,4,4,5,4,1,2,5,2,2,5,6,3,"9.792","178.108","179.546","44",3,5,5,5,4,4,4,3,3,5,5,"10.13","90.075","90.846","27","1","8.231","25.38","30.583","3","20.023","20.023","22.7","1","30","20.386","42.091","42.094","5","","","","","","20","13.284","42.049","46.972","3",5,5,2,"0",3,1,3,3,1,"","female","",39,"english","","black","","90","","1","bachelors","$40K-$70K","0","","CF Loss",20,46.972,3,2.2,3.5,4.25,5.25,1,1,2,3,3,3,1,5,2,5,3,5,1.7,2.3,0.931818181818182,0.75,-1.3,-1.21969429747208,-1.11005291005291,0.109641387419165,0.391215823152996,0.909369527145359,-1.5168598530125,0.216269168573771,-1.1132306566906,-0.385221319834458,0.0791706173192649,-1.28449364167728,"loprev","hiprom","hiass","hiloc",1,-1.35245446144526,0.174094361807466,-0.891322311458372,-1.369877312252,1,"US","United States","701","UUNET",0,"173.49.246.174",0,0
"167","2018-09-10 06:45:48","2018-09-10 06:48:59",100,190,"1","R_wUjBU4A2b9lrksN","EN","1",5,2,2,4,5,5,4,4,4,3,3,3,5,3,4,3,2,3,4,2,2,2,3,2,1,1,2,1,2,2,"6.871","57.538","58.864","34",3,3,3,3,3,4,4,3,4,4,4,"6.237","18.726","21.076","11","1","0","0","6.187","0","0","0","4.698","0","30","2.42","9.159","10.02","3","","","","","","0","2.58","2.58","3.591","1",5,5,3,"0",1,1,1,1,1,"Thanks","male","",28,"english","","white","","100","","0","somecollege","$250K-$500K","0","","CF Loss",0,3.591,1,2.8,3,3.66666666666667,3,3,3,2,3,3,2,2,5,4,5,2,5,0.2,0.8,1.33333333333333,2.36363636363636,-0.2,-0.119694297472075,-0.51005291005291,-0.390358612580835,-0.192117510180338,-1.34063047285464,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","loprom","loass","loloc",1,-0.621432841197919,-0.619831936944544,-1.46349698565819,-0.134432458078039,1,"US","United States","701","UUNET",0,"173.79.146.252",0,0
"168","2018-09-10 06:45:20","2018-09-10 06:55:20",100,599,"1","R_2qqjGYuuw7mKl0K","EN","1",4,2,2,4,4,5,3,5,4,5,5,2,5,4,4,4,4,2,4,5,2,3,3,4,4,2,2,5,3,4,"1.723","194.207","195.385","38",3,2,2,3,4,3,4,1,2,3,3,"9.509","69.72","70.963","23","1","29.531","30.721","31.492","2","3.886","33.608","34.602","2","30","18.77","22.837","24.658","3","","","","","","50","26.184","28.06","29.494","2",5,4,4,"0",1,1,4,2,3,"","female","",36,"english","","white","","87","","0","somecollege","$70K-$100K","0","","CF Loss",50,29.494,2,3.8,3.16666666666667,4.08333333333333,3.5,4,3,3,5,3,4,3,5,2,5,2,3,0.7,0.566666666666667,0.992424242424242,1.18181818181818,0.633333333333333,0.713639035861258,0.48994708994709,-0.223691945914168,0.224549156486329,-0.840630472854641,0.601019941759668,-1.32729901497236,-1.1132306566906,0.402534637579827,-0.659755144327207,0.188717075317515,"hiprev","loprom","hiass","loloc",1,0.596936525880988,-0.355189837360541,-0.033060300158641,0.801510613265873,1,"US","United States","10796","SCRR-10796",0,"173.88.191.245",0,0
"169","2018-09-10 07:01:40","2018-09-10 07:07:42",100,361,"1","R_2cr95Bp2yKSwooh","EN","1",5,3,4,6,5,5,6,4,5,3,2,1,2,1,3,5,4,2,3,2,5,3,2,1,5,2,3,6,4,5,"2.559","34.072","35.581","30",1,2,4,2,5,1,4,1,2,5,1,"27.335","45.437","46.053","13","1","3.608","3.608","6.222","1","3.504","3.504","10.47","1","30","1.317","9.47","10.245","3","100","2.421","12.852","13.586","3","","","","","",3,3,3,"0",2,2,4,2,1,"","female","",39,"english","","white","","87","","0","graddegree","$70K-$100K","0","","Control",100,13.586,3,4.6,4.5,3.83333333333333,5,4,4,5,5,5,4,5,4,4,4,5,6,0.3,0.3,1.60606060606061,0.545454545454545,0.0999999999999996,0.180305702527924,1.28994708994709,1.10964138741917,-0.0254508435136707,0.659369527145359,-0.457919955626414,-0.555514923199293,-0.357898454113614,0.402534637579827,-0.659755144327207,-1.28449364167728,"hiprev","hiprom","loass","hiloc",0,1.57163201954411,1.76194695931149,1.39737638534091,0.202507047605769,-1,"US","United States","10796","SCRR-10796",0,"173.88.65.163",0,0
"170","2018-09-10 06:46:05","2018-09-10 06:56:11",100,605,"1","R_2rlnThs4YPnoY07","EN","1",5,6,4,4,5,1,3,5,1,6,3,1,2,3,2,4,2,5,1,4,6,1,1,1,5,1,6,6,5,1,"5.95","201.101","202.439","37",4,3,4,3,4,3,5,3,2,5,1,"4.341","46.265","47.183","14","1","0","0","28.572","0","0","0","53.347","0","30","11.026","11.026","12.321","1","","","","","","100","11.662","11.662","12.558","1",5,5,5,"0",2,3,5,5,5,"None","male","",42,"english","","white","","87","","0","graddegree","$70K-$100K","0","","CF Loss",100,12.558,1,3.2,4.16666666666667,1.66666666666667,5,3,3,3,3,2,4,5,1,1,1,5,6,0.2,1.36666666666667,1.15151515151515,0.545454545454545,-0.966666666666667,-0.886360964138742,-0.11005291005291,0.776308054085832,-2.19211751018034,0.659369527145359,1.65995983914575,-0.555514923199293,0.397433748463374,1.19029059499411,1.55702214061221,1.66192779231231,"loprev","hiprom","loass","hiloc",1,-0.134085094366356,1.23266276014348,1.39737638534091,-0.995500083714439,1,"US","United States","10796","SCRR-10796",0,"173.89.124.167",0,0
"171","2018-09-10 06:55:33","2018-09-10 07:01:23",100,349,"1","R_3qdmuwgzslUXMZg","EN","1",5,5,5,4,5,4,5,5,5,4,5,5,5,4,4,4,5,2,5,4,4,5,2,1,5,5,2,3,5,5,"2.965","40.375","45.2","39",3,2,4,2,4,3,4,2,2,3,3,"4.274","37.597","40.921","14","1","0","0","18.229","0","0","0","17.305","0","30","11.937","20.255","21.307","2","","","","","","0","17.235","18.692","19.845","2",5,5,3,"1",NA,NA,NA,NA,NA,"","male","",35,"english","","white","","87","","0","graddegree","$70K-$100K","0","","CF Loss",0,19.845,2,3.8,3.5,4.33333333333333,4.41666666666667,4,4,3,4,3,4,3,2,3,5,2,6,0.2,0.3,0.96969696969697,1.17424242424242,0.3,0.380305702527925,0.48994708994709,0.109641387419165,0.474549156486329,0.0760361938120262,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","hiprom","hiass","loloc",1,0.596936525880988,0.174094361807466,-1.46349698565819,0.427133384728308,1,"US","United States","10796","SCRR-10796",0,"173.91.199.41",0,0
"172","2018-09-10 07:01:51","2018-09-10 07:12:50",100,659,"1","R_3n5TaCkhCmWmwN4","EN","1",5,3,4,4,6,4,4,5,3,1,4,1,1,3,2,5,1,3,4,5,4,1,1,2,6,1,1,5,4,1,"5.559","167.97","169.539","38",1,3,3,1,4,1,3,2,2,3,3,"8.016","60.866","61.855","14","1","0","0","50.573","0","0","0","44.967","0","30","28.653","28.653","29.577","1","","","","","","100","13.567","13.567","14.191","1",5,5,3,"0",1,1,3,3,1,"","female","",38,"english","","black","","84","","0","bachelors","$40K-$70K","0","","CF Loss",100,14.191,1,4.2,3.5,3.66666666666667,4.91666666666667,3,5,5,4,5,4,3,4,6,6,6,5,0.7,0.7,2.78787878787879,0.628787878787879,0.7,0.780305702527925,0.88994708994709,0.109641387419165,-0.192117510180338,0.576036193812026,-0.457919955626414,-1.32729901497236,-1.1132306566906,-0.385221319834458,0.0791706173192649,-1.28449364167728,"hiprev","hiprom","loass","hiloc",1,1.08428427271255,0.174094361807466,1.39737638534091,0.876386058973386,1,"US","United States","11426","SCRR-11426",0,"173.94.144.4",0,0
"173","2018-09-10 07:18:26","2018-09-10 07:25:36",100,430,"1","R_XTm1SHMypsS3HvH","EN","1",4,2,1,5,5,4,4,3,4,5,4,1,4,2,4,4,1,4,4,4,3,4,3,4,4,3,4,4,3,4,"4.893","133.07","134.322","31",3,1,3,1,5,1,3,1,3,2,1,"6.084","47.302","49.169","11","1","0","0","7.116","0","0","0","10.466","0","30","17.595","17.595","19.515","1","","","","","","0","17.001","19.264","20.426","3",5,5,3,"0",3,3,3,3,3,"good survey thanks","male","",68,"english","","white","","87","","0","associates","$40K-$70K","0","","CF Loss",0,20.426,3,5,3.16666666666667,3.83333333333333,3.5,5,5,5,5,3,3,5,5,2,3,3,3,0,0.966666666666667,0.515151515151515,1.18181818181818,1.83333333333333,1.91363903586126,1.68994708994709,-0.223691945914168,-0.0254508435136707,-0.840630472854641,-0.457919955626414,0.216269168573771,0.397433748463374,-0.385221319834458,0.0791706173192649,0.188717075317515,"hiprev","loprom","loass","loloc",1,2.05897976637568,-0.355189837360541,-1.46349698565819,2.14926863600111,1,"US","United States","10796","SCRR-10796",0,"174.104.13.169",0,0
"174","2018-09-10 06:53:27","2018-09-10 06:57:28",100,241,"1","R_3PAByNWjBPI6v5p","EN","1",3,1,1,5,4,4,2,3,4,6,3,1,2,2,5,5,2,4,2,4,5,4,3,6,4,2,1,2,2,2,"1.918","45.135","46.087","30",3,2,3,3,4,2,4,3,3,3,1,"4.08","23.449","24.985","11","1","0","0","13.596","0","0","0","11.939","0","30","13.704","13.704","14.508","1","50","9.94","9.94","10.747","1","","","","","",5,5,4,"0",5,4,4,3,1,"","female","",32,"english","","white","","93","","0","doctorate","$70K-$100K","0","","Control",50,10.747,1,3.6,3.5,3.58333333333333,3.33333333333333,4,3,4,3,3,3,5,6,1,6,5,1,0.3,0.7,2.62878787878788,2.42424242424242,0.1,0.180305702527925,0.28994708994709,0.109641387419165,-0.275450843513671,-1.00729713952131,0.601019941759668,1.7598373521199,1.15276595104036,0.402534637579827,0.0791706173192649,-1.28449364167728,"hiprev","hiprom","loass","loloc",0,0.353262652465207,0.174094361807466,-0.033060300158641,0.202507047605769,-1,"US","United States","11426","SCRR-11426",0,"174.107.172.190",0,0
"175","2018-09-10 06:47:10","2018-09-10 06:54:38",100,448,"1","R_1Nm1i19yOm4d4Dt","EN","1",5,1,2,6,5,4,5,5,5,2,2,1,3,2,5,5,5,2,5,6,5,4,4,3,5,2,2,5,5,5,"3.224","94.609","95.363","43",1,2,4,2,4,2,4,2,2,5,1,"3.783","60.174","61.129","30","1","13.364","13.364","23.976","1","4.9","4.9","12.718","1","30","12.619","16.962","18.216","3","100","12.452","18.832","19.753","3","","","","","",5,5,4,"0",2,2,2,2,2,"n/a","female","",30,"english","","white","","84","","0","doctorate","$250K-$500K","0","","Control",100,19.753,3,4,4.5,4.75,4.66666666666667,4,4,4,4,5,4,5,6,5,5,4,4,0,0.3,1.11363636363636,0.96969696969697,-0.5,-0.419694297472075,0.68994708994709,1.10964138741917,0.891215823152996,0.326036193812026,0.601019941759668,-0.555514923199293,-0.357898454113614,-1.17297727724874,-0.659755144327207,-0.547888283179883,"hiprev","hiprom","hiass","hiloc",0,0.84061039929677,1.76194695931149,1.39737638534091,-0.471371963761848,-1,"US","United States","11426","SCRR-11426",0,"174.110.16.121",0,0
"176","2018-09-10 06:54:49","2018-09-10 07:07:05",100,736,"1","R_2wdbQcoxJHvK1hb","EN","1",5,2,1,5,3,4,4,2,2,5,4,1,4,1,4,4,1,4,2,4,3,2,2,4,4,1,2,5,2,1,"8.747","153.861","155.023","32",5,3,3,3,3,4,3,3,4,1,2,"13.177","61.763","62.862","12","1","0","0","78.962","0","0","0","34.918","0","30","62.44","62.44","65.978","1","","","","","","0","21.586","21.586","30.298","1",5,5,3,"0",4,1,4,4,3,"","male","",47,"english","","white","","58","","0","associates","$10K-$20K","0","","CF Loss",0,30.298,1,2.8,2.33333333333333,3.25,3.33333333333333,3,3,2,3,1,2,4,5,2,5,3,3,0.2,1.46666666666667,1.84090909090909,1.6969696969697,0.466666666666666,0.546972369194591,-0.51005291005291,-1.0570252792475,-0.608784176847004,-1.00729713952131,-0.457919955626414,0.988053260346834,-1.1132306566906,0.402534637579827,0.818096378965737,0.188717075317515,"loprev","loprom","loass","loloc",1,-0.621432841197919,-1.67840033528056,-1.46349698565819,0.61432199899709,1,"US","United States","209","CENTURYLINK-US-LEGACY-QWEST",0,"174.16.224.41",0,0
"177","2018-09-10 06:57:21","2018-09-10 07:07:15",100,593,"1","R_3MzHcxe4afjO0wT","EN","1",6,6,2,6,5,2,1,6,1,6,1,6,3,1,2,5,2,5,1,4,5,1,1,1,4,2,1,6,5,1,"2.885","132.164","133.876","89",4,3,5,3,4,3,4,1,3,5,1,"5.138","44.637","45.088","64","1","1.215","52.86","53.493","12","1.156","12.904","18.96","5","30","3.482","40.406","41.053","21","","","","","","75","7.121","40.774","41.397","20",5,5,5,"0",1,1,4,4,4,"","male","",41,"english","","white","","95","","0","somecollege","$70K-$100K","0","","CF Loss",75,41.397,20,3.6,4,1.83333333333333,5,3,3,3,5,2,3,5,1,1,6,4,6,0.8,1.6,2.51515151515152,1.45454545454545,-0.4,-0.319694297472075,0.28994708994709,0.609641387419165,-2.02545084351367,0.659369527145359,1.65995983914575,-1.32729901497236,-1.1132306566906,0.402534637579827,0.818096378965737,0.925322433814912,"hiprev","hiprom","loass","hiloc",1,0.353262652465207,0.968020660559476,0.682158042591135,-0.359058795200578,1,"US","United States","22394","CELLCO",0,"174.196.146.134",0,0
"178","2018-09-10 06:45:10","2018-09-10 07:00:17",100,906,"1","R_oZvtWLO8Uuj72tr","EN","1",6,3,6,6,6,3,3,6,2,5,5,1,4,3,4,6,5,3,5,5,3,2,1,1,4,1,2,6,6,2,"3.604","291.185","292.747","118",2,1,4,2,4,2,4,1,1,5,4,"58.185","200.503","201.348","57","1","1.976","46.78","54.109","8","1.461","26.432","28.125","3","30","1.487","41.175","42.318","10","90","6.951","39.452","40.202","9","","","","","",5,5,4,"0",2,1,4,2,2,"N/A","female","",36,"english","","black","","12","","0","graddegree","$100K-$250K","0","","Control",90,40.202,9,4.4,4,3.5,5.33333333333333,5,4,4,5,4,5,2,4,2,5,3,6,0.3,1.2,1.72727272727273,1.51515151515152,0.4,0.480305702527925,1.08994708994709,0.609641387419165,-0.358784176847004,0.992702860478692,0.601019941759668,-0.555514923199293,-1.1132306566906,0.402534637579827,-0.659755144327207,-0.547888283179883,"hiprev","hiprom","loass","hiloc",0,1.32795814612833,0.968020660559476,1.111289048241,0.539446553289578,-1,"US","United States","22394","CELLCO",0,"174.218.2.189",0,0
"179","2018-09-10 06:45:57","2018-09-10 07:00:34",100,877,"1","R_3DbEfYGv9uIAe1F","EN","1",6,2,4,6,6,4,4,5,2,3,6,1,1,2,4,5,1,1,5,5,6,4,1,1,6,2,1,6,6,4,"0.058","174.278","179.534","96",3,3,5,4,3,3,4,5,3,4,1,"12.302","83.31","84.633","48","1","7.738","30.628","33.502","9","1.811","18.961","25.897","6","30","10.199","69.765","71.044","34","","","","","","100","6.967","32.754","33.877","8",5,5,3,"0",5,3,4,3,4,"","male","",32,"english","","white","","89","","0","associates","$40K-$70K","0","","CF Loss",100,33.877,8,2.4,4,4.41666666666667,5.66666666666667,3,2,3,1,3,3,5,5,4,6,6,6,0.8,0.8,1.17424242424242,0.424242424242424,-1.6,-1.51969429747208,-0.91005291005291,0.609641387419165,0.557882489819663,1.32603619381203,-0.457919955626414,1.7598373521199,0.397433748463374,0.402534637579827,0.0791706173192649,0.925322433814912,"loprev","hiprom","hiass","hiloc",1,-1.10878058802948,0.968020660559476,1.39737638534091,-1.70681681793581,1,"US","United States","22394","CELLCO",0,"174.224.21.88",0,0
"180","2018-09-10 06:45:02","2018-09-10 06:53:38",100,516,"1","R_1rdGx1K3Lz0PlRM","EN","1",4,2,2,5,5,5,5,5,4,5,4,5,5,2,4,4,4,5,4,5,5,4,5,3,4,5,4,5,5,4,"5.47","150.692","151.471","47",4,4,3,4,4,4,3,4,4,4,3,"70.324","105.692","113.126","11","1","0","0","2.428","0","0","0","16.063","0","30","20.806","21.266","21.473","2","","","","","","50","121.496","125.353","126.003","2",4,4,3,"1",NA,NA,NA,NA,NA,"","male","",19,"english","","white","","98","","0","somecollege","$70K-$100K","0","","CF Loss",50,126.003,2,2.4,2.83333333333333,4.08333333333333,4.16666666666667,2,2,2,2,2,2,3,5,2,3,2,4,0.8,0.566666666666667,0.810606060606061,1.24242424242424,-0.433333333333334,-0.353027630805409,-0.91005291005291,-0.557025279247501,0.224549156486329,-0.173963806187974,-0.457919955626414,NA,NA,NA,NA,NA,"loprev","loprom","hiass","loloc",1,-1.10878058802948,-0.884474036528547,-0.033060300158641,-0.396496518054335,1,"US","United States","209","CENTURYLINK-US-LEGACY-QWEST",0,"174.23.65.233",0,0
"181","2018-09-10 06:56:32","2018-09-10 07:10:09",100,817,"1","R_22VcEQGSHyuPjxB","EN","1",6,3,3,5,6,3,3,4,3,4,4,1,3,2,3,5,3,3,2,2,5,2,2,3,4,2,3,5,4,4,"3.817","169.063","170.207","31",3,2,4,2,4,2,5,2,2,3,1,"12.429","98.613","99.385","14","1","14.721","15.346","51.995","2","5.742","17.175","30.042","4","30","10.601","10.601","13.095","1","","","","","","100","11.996","11.996","14.18","1",5,5,4,"0",3,2,5,3,3,"","female","",50,"english","","white","","7","","0","associates","$70K-$100K","0","","CF Loss",100,14.18,1,4,4,3.08333333333333,4.58333333333333,4,4,4,4,3,4,5,4,3,4,4,4,0,0.8,0.628787878787879,0.810606060606061,0,0.0803057025279248,0.68994708994709,0.609641387419165,-0.775450843513671,0.242702860478692,0.601019941759668,0.216269168573771,-0.357898454113614,1.19029059499411,0.0791706173192649,0.188717075317515,"hiprev","hiprom","loass","hiloc",1,0.84061039929677,0.968020660559476,1.39737638534091,0.0901938790444998,1,"US","United States","7922","COMCAST-7922",0,"174.53.4.82",0,0
"182","2018-09-10 06:45:17","2018-09-10 06:53:48",100,511,"1","R_1gjcHc2e928h2QP","EN","1",4,3,2,5,3,3,2,3,3,5,3,1,5,3,2,3,2,4,3,5,2,2,1,5,3,2,4,5,2,2,"2.559","93.311","94.891","31",3,2,3,2,4,3,4,2,2,3,1,"5.841","42.173","43.935","11","1","23.692","24.163","26.018","2","8.213","8.213","27.138","1","30","15.44","15.44","17.588","1","0","11.501","11.501","16.346","1","","","","","",5,5,2,"0",4,1,4,2,1,"The question of how relieved I'd be really depends on if I was still sitting on an investment or if I'd decided to cash out a while back. But considering how long ago I heard about Bitcoin and had a friend or two urging me to get into it, I definitely could have benefited.","male","",41,"english","","white","","13","","0","graddegree","$10K-$20K","0","","Control",0,16.346,1,3.8,3.66666666666667,2.83333333333333,3,4,4,3,4,3,4,5,4,2,3,2,2,0.2,0.666666666666667,0.878787878787879,1.27272727272727,0.133333333333333,0.213639035861258,0.48994708994709,0.276308054085832,-1.02545084351367,-1.34063047285464,-1.5168598530125,0.988053260346834,-1.1132306566906,0.402534637579827,-0.659755144327207,-1.28449364167728,"hiprev","hiprom","loass","loloc",0,0.596936525880988,0.438736461391469,-1.46349698565819,0.239944770459526,-1,"US","United States","7922","COMCAST-7922",0,"174.56.169.58",0,0
"183","2018-09-10 07:32:51","2018-09-10 07:40:13",100,441,"1","R_9p2aCwbis1UNm4V","EN","1",6,3,2,5,5,2,4,6,2,5,4,1,1,1,2,4,4,1,4,4,5,2,1,1,4,1,6,6,6,4,"10.548","134.243","136.721","34",5,1,4,2,4,1,5,1,2,5,1,"2.808","45.938","47.296","15","1","0","0","18.258","0","0","0","9.158","0","30","8.609","12.699","13.911","2","100","36.036","37.124","38.189","2","","","","","",5,5,4,"0",5,5,5,2,3,"","male","",39,"english","","white","","78","","0","doctorate","$100K-$250K","0","","Control",100,38.189,2,4.6,4,2.91666666666667,5.08333333333333,5,4,5,5,1,4,5,4,2,1,6,6,0.3,2.4,1.35606060606061,1.53787878787879,0.6,0.680305702527924,1.28994708994709,0.609641387419165,-0.942117510180338,0.742702860478692,0.601019941759668,1.7598373521199,1.90809815361735,1.19029059499411,-0.659755144327207,0.188717075317515,"hiprev","hiprom","loass","hiloc",0,1.57163201954411,0.968020660559476,1.39737638534091,0.764072890412116,-1,"US","United States","22773","ASN-CXA-ALL-CCI-22773-RDC",0,"174.71.60.245",0,0
"184","2018-09-10 06:46:56","2018-09-10 06:55:39",100,523,"1","R_3gLzdduuPP4p4Gz","EN","1",6,1,5,4,3,5,2,5,5,3,5,1,1,1,6,5,1,1,4,6,4,3,1,4,6,4,1,6,5,4,"4.834","110.796","112.281","36",4,1,3,1,5,1,3,2,2,4,5,"7.249","51.721","53.393","12","1","0","0","30.179","0","0","0","18.274","0","30","13.642","23.384","29.781","4","80","45.987","47.958","49.909","2","","","","","",4,5,2,"0",5,5,5,5,4,"","female","",49,"english","","white","","74","","0","graddegree","$40K-$70K","0","","Control",80,49.909,2,4.8,2.83333333333333,4.66666666666667,4.83333333333333,5,5,5,4,2,4,1,6,4,6,6,3,0.2,1.36666666666667,1.6969696969697,1.24242424242424,1.96666666666667,2.04697236919459,1.48994708994709,-0.557025279247501,0.807882489819663,0.492702860478692,-1.5168598530125,1.7598373521199,1.90809815361735,1.19029059499411,1.55702214061221,0.925322433814912,"hiprev","loprom","hiass","hiloc",0,1.8153058929599,-0.884474036528547,0.82520171114109,2.29901952741613,-1,"US","United States","20115","CHARTER-NET-HKY-NC",0,"174.84.127.216",0,0
"185","2018-09-10 06:45:10","2018-09-10 06:56:36",100,685,"1","R_3fwxNObL7xnNS5x","EN","1",6,3,3,6,5,4,4,6,5,3,5,2,3,3,6,6,3,2,5,5,6,4,1,4,6,3,2,6,5,5,"9.615","134.762","137.143","35",3,4,4,4,3,3,4,3,3,3,2,"14.344","64.75","65.97","14","1","0","0","74.578","0","0","0","43.115","0","30","47.531","56.701","58.118","2","","","","","","40","35.024","35.024","37.386","1",5,5,3,"0",2,2,3,2,2,"none","female","",36,"english","","white","","74","","0","somecollege","$40K-$70K","0","","CF Loss",40,37.386,1,2.6,3.5,4.66666666666667,5.16666666666667,2,2,3,3,3,3,4,4,4,5,4,3,0.3,0.3,0.424242424242424,1.42424242424242,-0.9,-0.819694297472075,-0.71005291005291,0.109641387419165,0.807882489819663,0.826036193812026,-0.457919955626414,-0.555514923199293,-0.357898454113614,-0.385221319834458,-0.659755144327207,-0.547888283179883,"loprev","hiprom","hiass","hiloc",1,-0.865106714613701,0.174094361807466,-0.319147637258551,-0.920624638006925,1,"US","United States","20115","CHARTER-NET-HKY-NC",0,"174.84.198.67",0,0
"186","2018-09-10 06:45:07","2018-09-10 06:49:17",100,250,"1","R_3Ht3H7YI4s2zzj5","EN","1",3,2,4,4,3,5,2,3,3,2,4,4,4,3,5,2,2,4,3,5,5,4,5,2,3,2,2,4,3,5,"1.106","22.785","24.663","34",2,4,2,4,2,3,2,4,3,2,2,"0.991","27.672","28.622","14","1","5.03","16.666","17.807","7","4.718","9.083","10","2","30","7.142","18.991","19.709","4","","","","","","30","16.877","16.877","27.362","1",4,5,4,"0",2,2,4,3,4,"","female","",23,"english","","multi","","3","","0","associates","$20K-$40K","0","","CF Loss",30,27.362,1,2.2,2.83333333333333,4.25,3.5,2,2,3,2,4,3,4,5,5,5,3,5,0.2,0.966666666666667,1.11363636363636,0.818181818181818,-0.633333333333333,-0.553027630805409,-1.11005291005291,-0.557025279247501,0.391215823152996,-0.840630472854641,0.601019941759668,-0.555514923199293,-0.357898454113614,0.402534637579827,0.0791706173192649,0.925322433814912,"loprev","loprom","hiass","loloc",1,-1.35245446144526,-0.884474036528547,-0.605234974358462,-0.621122855176873,1,"US","United States","20115","CHARTER-NET-HKY-NC",0,"174.85.255.66",0,0
